Experiment ID,Experiment type,Matrix block size MxM,host complete size (MB),Clock freq(MHz),BRAM utilization(%),URAM tilization(%),Total Utilization(%),throughput (GB/s),kernel throghput,Matrix size 1 dimen  (32 bits),block size (MB),Tot BRAM (MB),Total URAM (MB),BRAM (MB),URAM
hb1,HBM with BRAM,101,0.156,300,22.4,0,22.4,5.016,,202,0.039,1.75,,7.798,32.959
hb2,HBM with BRAM,209,0.667,223,35.81,0,35.81,1.908,,418,0.167,2.79,,,
hb3,HBM with BRAM,210,0.673,242,35.94,0,35.94,2.071,,420,0.168,2.80,,,
hb4,HBM with BRAM,218,0.725,214,36.93,0,36.93,1.75,,436,0.181,2.88,,,
hb5,HBM with BRAM,320,1.563,171,49.58,0,49.58,0.981,,640,0.391,3.87,,,
hb6,HBM with BRAM,442,2.981,155,64.71,0,64.71,0.65,,884,0.745,5.05,,,
hu1,HBM with URAM,545,4.532,204,0,37.9,37.9,0.66,,1090,1.133,0.00,12.49,,
hu2,HBM with URAM,552,4.649,190,0,38.33,38.33,0.62,,1104,1.162,0.00,12.63,,
hu3,HBM with URAM,560,4.785,207,0,39.17,39.17,0.66,,1120,1.196,0.00,12.91,,
hu4,HBM with URAM,564,4.854,205,0,39.17,39.17,0.65,,1128,1.213,0.00,12.91,,
hu5,HBM with URAM,565,4.871,186,0,39.58,39.58,0.59,,1130,1.218,0.00,13.05,,
hu6,HBM with URAM,730,8.131,146,0,76.67,76.67,0.37,,1460,2.033,0.00,25.27,,
hu7,HBM with URAM,824,10.360,140,0.11,76.67,76.78,0.312,,1648,2.590,0.01,25.27,,
hu8,HBM with URAM,574,5.027,182,0.11,40,40.11,0.568,,1148,1.257,0.01,13.18,,
hu9,HBM with URAM,440,2.954,184,0.11,36.67,36.78,0.736,,880,0.739,0.01,12.09,,
hu10,HBM with URAM,400,2.441,201,0.11,41.67,41.78,0.918,,800,0.610,0.01,13.73,,
hu11,HBM with URAM,401,2.454,195,0.11,33.75,33.86,0.868,,802,0.613,0.01,11.12,,
hu12,HBM with URAM,451,3.104,215,0.11,37.92,38.03,0.858,,902,0.776,0.01,12.50,,
hu13,HBM with URAM,460,3.229,207,0.11,38.33,38.44,0.803,,920,0.807,0.01,12.63,,
hu14,HBM with URAM,130,0.258,212,0.11,27.08,27.19,2.83,,260,0.064,0.01,8.93,,
hu15,HBM with URAM,245,0.916,218,0.11,34.17,34.28,1.51,,490,0.229,0.01,11.26,,
hu16,HBM with URAM,454,3.145,196,0.11,37.92,38.03,0.77,,908,0.786,0.01,12.50,,
hu17,HBM with URAM,100,0.153,211,0.11,41.67,41.78,3.49,,200,0.038,0.01,13.73,,
hu18,HBM with URAM,101,0.156,217,0.11,21.25,21.36,3.64,,202,0.039,0.01,7.00,,
hu19,HBM with URAM,158,0.381,193,0.11,32.92,33.03,2.13,,316,0.095,0.01,10.85,,
hu20,HBM with URAM,114,0.198,223,0.11,23.75,23.86,3.34,,228,0.050,0.01,7.83,,
hu21,HBM with URAM,375,2.146,198,0.11,39.17,39.28,0.95,,750,0.536,0.01,12.91,,
hc1,HBM with comb,400,2.441,152,19,62,81,0.695,,800,0.610,1.48,20.43,,
hc2,HBM with comb,450,3.090,187,24.7,46.88,71.58,0.74,,900,0.772,1.93,15.45,,
hc3,HBM with comb,619,5.847,178,40.6,48.44,89.04,0.526,,1238,1.462,3.17,15.97,,
hc4,HBM with comb,620,5.865,175,40.6,48.44,89.04,0.526,,1240,1.466,3.17,15.97,,
hc5,HBM with comb,840,10.767,103,83.48,100,183.48,0.219,,1680,2.692,6.51,32.96,,
hc6,HBM with comb,1072,17.535,106,86.33,91.88,178.21,0.181,,2144,4.384,6.73,30.28,,
hc7,HBM with comb,1082,17.864,91,88.02,92.86,180.88,0.154,,2164,4.466,6.86,30.61,,
